File	type	entity
thoreau-walden-186.tsv	LOCATION	Sudbury
thoreau-walden-186.tsv	LOCATION	Pleiades
thoreau-walden-186.tsv	LOCATION	Aurora
thoreau-walden-186.tsv	LOCATION	Aurora
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Wachito River
thoreau-walden-186.tsv	LOCATION	Spain
thoreau-walden-186.tsv	LOCATION	Seville
thoreau-walden-186.tsv	LOCATION	Spain
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	Khoung
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Paris
thoreau-walden-186.tsv	LOCATION	London
thoreau-walden-186.tsv	LOCATION	New York
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Greece
thoreau-walden-186.tsv	LOCATION	Rome
thoreau-walden-186.tsv	LOCATION	Europe
thoreau-walden-186.tsv	LOCATION	Zendavestas
thoreau-walden-186.tsv	LOCATION	Zebulon
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Paris
thoreau-walden-186.tsv	LOCATION	Oxford
thoreau-walden-186.tsv	LOCATION	Europe
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Massachusetts
thoreau-walden-186.tsv	LOCATION	Fitchburg Railroad
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Jupiter
thoreau-walden-186.tsv	LOCATION	Buena Vista
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Sierra Nevada
thoreau-walden-186.tsv	LOCATION	Long Wharf
thoreau-walden-186.tsv	LOCATION	Lake Champlain
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Manilla
thoreau-walden-186.tsv	LOCATION	Maine
thoreau-walden-186.tsv	LOCATION	Thomaston
thoreau-walden-186.tsv	LOCATION	Milwaukee
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Cuttingsville Vermont
thoreau-walden-186.tsv	LOCATION	Green Mountains
thoreau-walden-186.tsv	LOCATION	Green Mountains
thoreau-walden-186.tsv	LOCATION	Connecticut
thoreau-walden-186.tsv	LOCATION	Peterboro Hills
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Atlantic
thoreau-walden-186.tsv	LOCATION	Pacific
thoreau-walden-186.tsv	LOCATION	Asia
thoreau-walden-186.tsv	LOCATION	Africa
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Beacon Hill
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Brighton
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Dead Sea
thoreau-walden-186.tsv	LOCATION	Aurora
thoreau-walden-186.tsv	LOCATION	Jupiter
thoreau-walden-186.tsv	LOCATION	Massasoit
thoreau-walden-186.tsv	LOCATION	Phthia They
thoreau-walden-186.tsv	LOCATION	Canada
thoreau-walden-186.tsv	LOCATION	States
thoreau-walden-186.tsv	LOCATION	Vermont
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	White Mountains
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Wayland
thoreau-walden-186.tsv	LOCATION	Ranz des Vaches
thoreau-walden-186.tsv	LOCATION	Egypt
thoreau-walden-186.tsv	LOCATION	Wayland
thoreau-walden-186.tsv	LOCATION	Middlesex
thoreau-walden-186.tsv	LOCATION	Massachusetts
thoreau-walden-186.tsv	LOCATION	Palestine
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Rome
thoreau-walden-186.tsv	LOCATION	India
thoreau-walden-186.tsv	LOCATION	London
thoreau-walden-186.tsv	LOCATION	New York
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Ceres
thoreau-walden-186.tsv	LOCATION	Ceres
thoreau-walden-186.tsv	LOCATION	State Street
thoreau-walden-186.tsv	LOCATION	Siberia
thoreau-walden-186.tsv	LOCATION	Maine
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	White Pond
thoreau-walden-186.tsv	LOCATION	Eden Walden Pond
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Ganges
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Boiling Spring
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Concord River
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Sandy Pond
thoreau-walden-186.tsv	LOCATION	Lincoln
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Icarian Sea
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	White Pond
thoreau-walden-186.tsv	LOCATION	White Pond
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Virid Lake Perhaps
thoreau-walden-186.tsv	LOCATION	Yellow Pine Lake
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Sudbury
thoreau-walden-186.tsv	LOCATION	White Pond
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Pond
thoreau-walden-186.tsv	LOCATION	Valhalla
thoreau-walden-186.tsv	LOCATION	Italy
thoreau-walden-186.tsv	LOCATION	France
thoreau-walden-186.tsv	LOCATION	America
thoreau-walden-186.tsv	LOCATION	America
thoreau-walden-186.tsv	LOCATION	America
thoreau-walden-186.tsv	LOCATION	John Field
thoreau-walden-186.tsv	LOCATION	Missouri
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Kirby
thoreau-walden-186.tsv	LOCATION	Greece
thoreau-walden-186.tsv	LOCATION	Rome
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	America
thoreau-walden-186.tsv	LOCATION	Spain
thoreau-walden-186.tsv	LOCATION	Mediterranean
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	America
thoreau-walden-186.tsv	LOCATION	Sweden
thoreau-walden-186.tsv	LOCATION	Polk
thoreau-walden-186.tsv	LOCATION	Lincoln
thoreau-walden-186.tsv	LOCATION	New York
thoreau-walden-186.tsv	LOCATION	Louisiana
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	New York
thoreau-walden-186.tsv	LOCATION	Lincoln
thoreau-walden-186.tsv	LOCATION	Ceres
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Mesopotamia
thoreau-walden-186.tsv	LOCATION	Babylon
thoreau-walden-186.tsv	LOCATION	North West Territory
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Mexico
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	New York
thoreau-walden-186.tsv	LOCATION	Philadelphia
thoreau-walden-186.tsv	LOCATION	Paris
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Thou
thoreau-walden-186.tsv	LOCATION	Stratton
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Walden Woods Cato
thoreau-walden-186.tsv	LOCATION	Uticensis
thoreau-walden-186.tsv	LOCATION	Guinea
thoreau-walden-186.tsv	LOCATION	Walden Woods
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Waterloo
thoreau-walden-186.tsv	LOCATION	Waterloo
thoreau-walden-186.tsv	LOCATION	Cato
thoreau-walden-186.tsv	LOCATION	Walden Pond
thoreau-walden-186.tsv	LOCATION	Sutton
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Broadway
thoreau-walden-186.tsv	LOCATION	Connecticut
thoreau-walden-186.tsv	LOCATION	Great Looker Great Expecter
thoreau-walden-186.tsv	LOCATION	Flint
thoreau-walden-186.tsv	LOCATION	Baffin
thoreau-walden-186.tsv	LOCATION	Bay The Lincoln
thoreau-walden-186.tsv	LOCATION	Lincoln
thoreau-walden-186.tsv	LOCATION	Walden Wood
thoreau-walden-186.tsv	LOCATION	Hudson
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Lexington
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Walden Wood
thoreau-walden-186.tsv	LOCATION	Wayland
thoreau-walden-186.tsv	LOCATION	Walden
thoreau-walden-186.tsv	LOCATION	Weston
